# Matter power spectrum P(k) at redshift z=0
# for k=1.04684e-05 to 1.49786 h/Mpc,
# number of wavenumbers equal to 525
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.046838254073e-05       4.772365328719e+01 
       2.339239294690e-05       1.037693142485e+02 
       3.636211258110e-05       1.589026093604e+02 
       4.941267169675e-05       2.136910741078e+02 
       6.257978506766e-05       2.684621543727e+02 
       7.590007257106e-05       3.234640544580e+02 
       8.941139008165e-05       3.789108791270e+02 
       1.031531751052e-04       4.350011858326e+02 
       1.171668116135e-04       4.919275496273e+02 
       1.314960185763e-04       5.498823955141e+02 
       1.461872666915e-04       6.090621006310e+02 
       1.612902277501e-04       6.696702118658e+02 
       1.768582608843e-04       7.319202232123e+02 
       1.929489395610e-04       7.960381353907e+02 
       2.096246224918e-04       8.622649251478e+02 
       2.269530705071e-04       9.308589994177e+02 
       2.450081096992e-04       1.002098658673e+03 
       2.638703385590e-04       1.076284594871e+03 
       2.836278731210e-04       1.153742391889e+03 
       3.043771189505e-04       1.234824987195e+03 
       3.262235517688e-04       1.319915016036e+03 
       3.492824791840e-04       1.409426919824e+03 
       3.736797440101e-04       1.503808648718e+03 
       3.995523147497e-04       1.603542738984e+03 
       4.270486910436e-04       1.709146474593e+03 
       4.563290318473e-04       1.821170772856e+03 
       4.875648932553e-04       1.940197374199e+03 
       5.209384440046e-04       2.066833854791e+03 
       5.566410141291e-04       2.201705962021e+03 
       5.948708322125e-04       2.345446813700e+03 
       6.358298269272e-04       2.498682613527e+03 
       6.797194172148e-04       2.662014768197e+03 
       7.267352989175e-04       2.835998630264e+03 
       7.770613550747e-04       3.021119592168e+03 
       8.308629645091e-04       3.217767802879e+03 
       8.882801386995e-04       3.426213296451e+03 
       9.494210483803e-04       3.646583816539e+03 
       1.014356570580e-03       3.878847737601e+03 
       1.083116460410e-03       4.122804266243e+03 
       1.155687614839e-03       4.378082565729e+03 
       1.232014661873e-03       4.644150305026e+03 
       1.312002821567e-03       4.920331048085e+03 
       1.395522706726e-03       5.205803439739e+03 
       1.482416520757e-03       5.499689116671e+03 
       1.572505006192e-03       5.801055249522e+03 
       1.665594506830e-03       6.108925061763e+03 
       1.761483607374e-03       6.422318738002e+03 
       1.859968968452e-03       6.740275903046e+03 
       1.960850141653e-03       7.061873431054e+03 
       2.063933297594e-03       7.386239179445e+03 
       2.169033912537e-03       7.712560164331e+03 
       2.275978531207e-03       8.040087933440e+03 
       2.384605759394e-03       8.368140699241e+03 
       2.494766648282e-03       8.696101831032e+03 
       2.606324622691e-03       9.023418187552e+03 
       2.719155085692e-03       9.349596364209e+03 
       2.833144808513e-03       9.674198920994e+03 
       2.948191191127e-03       9.996838854094e+03 
       3.064201457834e-03       1.031717752296e+04 
       3.181091834265e-03       1.063491624510e+04 
       3.298786737969e-03       1.094979605979e+04 
       3.417218003632e-03       1.126159254648e+04 
       3.536324155751e-03       1.157010778998e+04 
       3.656049735545e-03       1.187517542677e+04 
       3.776344684708e-03       1.217665095469e+04 
       3.897163785761e-03       1.247441296014e+04 
       4.018466156887e-03       1.276835738993e+04 
       4.140214798067e-03       1.305839645814e+04 
       4.262376184676e-03       1.334446171542e+04 
       4.384919904513e-03       1.362649242781e+04 
       4.507818334176e-03       1.390444563595e+04 
       4.631046350859e-03       1.417827981235e+04 
       4.754581075876e-03       1.444795861131e+04 
       4.878401646475e-03       1.471346334587e+04 
       5.002489012830e-03       1.497483135939e+04 
       5.126825757376e-03       1.523200364285e+04 
       5.251395933948e-03       1.548494992857e+04 
       5.376184924470e-03       1.573382143242e+04 
       5.501179311156e-03       1.597853302036e+04 
       5.626366762470e-03       1.621907074319e+04 
       5.751735931236e-03       1.645474996779e+04 
       5.877276363516e-03       1.668704357411e+04 
       6.002978417038e-03       1.691522716551e+04 
       6.128833188064e-03       1.713929142819e+04 
       6.254832445767e-03       1.735942100162e+04 
       6.380968573268e-03       1.757565682458e+04 
       6.507234514587e-03       1.778813414103e+04 
       6.633623726859e-03       1.799611094626e+04 
       6.760130137242e-03       1.820027344406e+04 
       6.886748104005e-03       1.840058759714e+04 
       7.013472381345e-03       1.859707137477e+04 
       7.140298087538e-03       1.878973432232e+04 
       7.267220676083e-03       1.897842921542e+04 
       7.394235909504e-03       1.916360383289e+04 
       7.521339835562e-03       1.934489821956e+04 
       7.648528765610e-03       1.952315452649e+04 
       7.775799254893e-03       1.969722154446e+04 
       7.903148084580e-03       1.986767135799e+04 
       8.030572245374e-03       2.003456496856e+04 
       8.158068922532e-03       2.019793696156e+04 
       8.285635482171e-03       2.035780653663e+04 
       8.413269458728e-03       2.051423202508e+04 
       8.540968543466e-03       2.066722655117e+04 
       8.668730573937e-03       2.081683945911e+04 
       8.796553524298e-03       2.096310573439e+04 
       8.924435496422e-03       2.110602224244e+04 
       9.052374711707e-03       2.124568312375e+04 
       9.180369503552e-03       2.138210898767e+04 
       9.308418310408e-03       2.151533066711e+04 
       9.436519669376e-03       2.164538891808e+04 
       9.564672210306e-03       2.177230075071e+04 
       9.692874650330e-03       2.189611267497e+04 
       9.821125788825e-03       2.201687042554e+04 
       9.949424502743e-03       2.213459100562e+04 
       1.007776974230e-02       2.224929875732e+04 
       1.020616052695e-02       2.236106139347e+04 
       1.033459594173e-02       2.246923153333e+04 
       1.046307513378e-02       2.257579772138e+04 
       1.059159730915e-02       2.267887449930e+04 
       1.072016172989e-02       2.277915811514e+04 
       1.084876771125e-02       2.287651165127e+04 
       1.097741461915e-02       2.297116418768e+04 
       1.110610186783e-02       2.306308852315e+04 
       1.123482891760e-02       2.315230920521e+04 
       1.136359527282e-02       2.323884120026e+04 
       1.149240047999e-02       2.332274808161e+04 
       1.162124412597e-02       2.340403173926e+04 
       1.175012583636e-02       2.348273611742e+04 
       1.187904527390e-02       2.355889928533e+04 
       1.200800213714e-02       2.363252013326e+04 
       1.213699615901e-02       2.370372972621e+04 
       1.226602710567e-02       2.377225851802e+04 
       1.239509477532e-02       2.383851733055e+04 
       1.252419899714e-02       2.390236735085e+04 
       1.265333963033e-02       2.396381004075e+04 
       1.278251656313e-02       2.402291171867e+04 
       1.291172971205e-02       2.407971735437e+04 
       1.304097902102e-02       2.413420790325e+04 
       1.317026446067e-02       2.418645039884e+04 
       1.329958602771e-02       2.423650603183e+04 
       1.342894374422e-02       2.428429529599e+04 
       1.355833765715e-02       2.432978479362e+04 
       1.368776783776e-02       2.437320788842e+04 
       1.381723438115e-02       2.441451181656e+04 
       1.394673740582e-02       2.445374310859e+04 
       1.407627705326e-02       2.449087012583e+04 
       1.420585348759e-02       2.452595472842e+04 
       1.433546689523e-02       2.455899410707e+04 
       1.446511748463e-02       2.458992568198e+04 
       1.459480548595e-02       2.461900302976e+04 
       1.472453115090e-02       2.464605216260e+04 
       1.485429475248e-02       2.467123476328e+04 
       1.498409658484e-02       2.469453922145e+04 
       1.511393696312e-02       2.471587365564e+04 
       1.524381622332e-02       2.473537548368e+04 
       1.537373472222e-02       2.475306278256e+04 
       1.550369283729e-02       2.476894225230e+04 
       1.563369096668e-02       2.478306574438e+04 
       1.576372952911e-02       2.479545211876e+04 
       1.589380896397e-02       2.480597956942e+04 
       1.602392973125e-02       2.481484955949e+04 
       1.615409231161e-02       2.482202353343e+04 
       1.628429720645e-02       2.482755358569e+04 
       1.641454493795e-02       2.483149530501e+04 
       1.654483604919e-02       2.483366539931e+04 
       1.667517110425e-02       2.483437321397e+04 
       1.680555068835e-02       2.483242465613e+04 
       1.693597540797e-02       2.483081988667e+04 
       1.706644589107e-02       2.482603728101e+04 
       1.719696278722e-02       2.482120597941e+04 
       1.732752676783e-02       2.481325494993e+04 
       1.745813852635e-02       2.480563289200e+04 
       1.758879877852e-02       2.479566895831e+04 
       1.771950826263e-02       2.478430731151e+04 
       1.785026773973e-02       2.477145367120e+04 
       1.798107799400e-02       2.475675845361e+04 
       1.811193983298e-02       2.474087041380e+04 
       1.824285408792e-02       2.472378460776e+04 
       1.837382161413e-02       2.470570924640e+04 
       1.850484329127e-02       2.468692154108e+04 
       1.863592002380e-02       2.466604000846e+04 
       1.876705274130e-02       2.464255667757e+04 
       1.889824239889e-02       2.462038505933e+04 
       1.902948997766e-02       2.459588016099e+04 
       1.916079648512e-02       2.456931661692e+04 
       1.929216295559e-02       2.454173201190e+04 
       1.942359045077e-02       2.451428936214e+04 
       1.955508006012e-02       2.448541425681e+04 
       1.968663290148e-02       2.445381945621e+04 
       1.981825012149e-02       2.442317619747e+04 
       1.994993289621e-02       2.438977090976e+04 
       2.008168243169e-02       2.435660948748e+04 
       2.021349996447e-02       2.432118000223e+04 
       2.034538676230e-02       2.428584925679e+04 
       2.047734412467e-02       2.424899920993e+04 
       2.060937338351e-02       2.420996925362e+04 
       2.074147590386e-02       2.417195188552e+04 
       2.087365308451e-02       2.413132426770e+04 
       2.100590635878e-02       2.409114615168e+04 
       2.113823719520e-02       2.404928926315e+04 
       2.127064709831e-02       2.400570973475e+04 
       2.140313760942e-02       2.396192344439e+04 
       2.153571030742e-02       2.391825639200e+04 
       2.166836680964e-02       2.387200199857e+04 
       2.180110877266e-02       2.382577661639e+04 
       2.193393789327e-02       2.377865269435e+04 
       2.206685590930e-02       2.373069847651e+04 
       2.219986460063e-02       2.368186287682e+04 
       2.233296579017e-02       2.363219819321e+04 
       2.246616134478e-02       2.358194792202e+04 
       2.259945317641e-02       2.353077022192e+04 
       2.273284324311e-02       2.347964210459e+04 
       2.286633355014e-02       2.342629327016e+04 
       2.299992615110e-02       2.337364692212e+04 
       2.313362314912e-02       2.331893552599e+04 
       2.326742669807e-02       2.326420458771e+04 
       2.340133900379e-02       2.320884561045e+04 
       2.353536232536e-02       2.315289483691e+04 
       2.366949897648e-02       2.309617256461e+04 
       2.380375132678e-02       2.303877577326e+04 
       2.393812180328e-02       2.298124204532e+04 
       2.407261289180e-02       2.292212464158e+04 
       2.420722713852e-02       2.286314240303e+04 
       2.434196715146e-02       2.280353014216e+04 
       2.447683560216e-02       2.274375274159e+04 
       2.461183522726e-02       2.268276835091e+04 
       2.474696883025e-02       2.262074812898e+04 
       2.488223928324e-02       2.255959399933e+04 
       2.501764952876e-02       2.249711117346e+04 
       2.515320258161e-02       2.243350420096e+04 
       2.528890153088e-02       2.237079438177e+04 
       2.542474954189e-02       2.230648908873e+04 
       2.556074985830e-02       2.224228998458e+04 
       2.569690580423e-02       2.217717378207e+04 
       2.583322078649e-02       2.211207507647e+04 
       2.596969829688e-02       2.204638628508e+04 
       2.610634191455e-02       2.198024382649e+04 
       2.624315530844e-02       2.191380201799e+04 
       2.638014223984e-02       2.184707361993e+04 
       2.651730656499e-02       2.177961350012e+04 
       2.665465223784e-02       2.171205922713e+04 
       2.679218331281e-02       2.164404776546e+04 
       2.692990394772e-02       2.157571567000e+04 
       2.706781840682e-02       2.150752679640e+04 
       2.720593106394e-02       2.143815726924e+04 
       2.734424640564e-02       2.136894575808e+04 
       2.748276903465e-02       2.129938728895e+04 
       2.762150367334e-02       2.122940912246e+04 
       2.776045516726e-02       2.115955971669e+04 
       2.789962848899e-02       2.108881941689e+04 
       2.803902874191e-02       2.101857322221e+04 
       2.817866116432e-02       2.094735603458e+04 
       2.831853113357e-02       2.087618257700e+04 
       2.845864417041e-02       2.080508485583e+04 
       2.859900594353e-02       2.073290733146e+04 
       2.873962227420e-02       2.066104657226e+04 
       2.888049914118e-02       2.058900098255e+04 
       2.902164268576e-02       2.051674462261e+04 
       2.916305921703e-02       2.044445750804e+04 
       2.930475521734e-02       2.037150681598e+04 
