Redshift,GR_Density,TCWT_Density
3.000000000000000000e+01,1.094527300086631794e-01,1.810279802164483365e-01
2.997497497497497321e+01,1.094607173517243431e-01,1.810100913096295283e-01
2.994994994994994997e+01,1.094687181956398164e-01,1.809920171155017243e-01
2.992492492492492318e+01,1.094767325746475450e-01,1.809737568547371001e-01
2.989989989989989994e+01,1.094847605231011461e-01,1.809553097449257408e-01
2.987487487487487314e+01,1.094928020754706577e-01,1.809366750005645952e-01
2.984984984984984990e+01,1.095008572663427604e-01,1.809178518330455954e-01
2.982482482482482311e+01,1.095089261304215134e-01,1.808988394506447772e-01
2.979979979979979987e+01,1.095170087025287287e-01,1.808796370585103452e-01
2.977477477477477308e+01,1.095251050176044294e-01,1.808602438586515704e-01
2.974974974974974984e+01,1.095332151107074603e-01,1.808406590499270217e-01
2.972472472472472305e+01,1.095413390170159595e-01,1.808208818280332975e-01
2.969969969969969981e+01,1.095494767718277612e-01,1.808009113854931460e-01
2.967467467467467301e+01,1.095576284105611448e-01,1.807807469116443078e-01
2.964964964964964977e+01,1.095657939687550569e-01,1.807603875926274140e-01
2.962462462462462298e+01,1.095739734820698336e-01,1.807398326113747455e-01
2.959959959959959974e+01,1.095821669862876435e-01,1.807190811475983261e-01
2.957457457457457295e+01,1.095903745173130162e-01,1.806981323777784865e-01
2.954954954954954971e+01,1.095985961111733548e-01,1.806769854751518189e-01
2.952452452452452292e+01,1.096068318040194778e-01,1.806556396096996031e-01
2.949949949949949968e+01,1.096150816321261462e-01,1.806340939481361763e-01
2.947447447447447288e+01,1.096233456318925770e-01,1.806123476538968875e-01
2.944944944944944965e+01,1.096316238398430259e-01,1.805903998871264959e-01
2.942442442442442285e+01,1.096399162926272597e-01,1.805682498046670692e-01
2.939939939939939961e+01,1.096482230270211383e-01,1.805458965600464372e-01
2.937437437437437282e+01,1.096565440799271152e-01,1.805233393034659517e-01
2.934934934934934958e+01,1.096648794883748473e-01,1.805005771817889126e-01
2.932432432432432279e+01,1.096732292895217092e-01,1.804776093385283553e-01
2.929929929929929955e+01,1.096815935206533199e-01,1.804544349138352544e-01
2.927427427427427276e+01,1.096899722191841120e-01,1.804310530444863114e-01
2.924924924924924952e+01,1.096983654226579286e-01,1.804074628638722699e-01
2.922422422422422272e+01,1.097067731687485087e-01,1.803836635019855916e-01
2.919919919919919948e+01,1.097151954952601538e-01,1.803596540854085495e-01
2.917417417417417269e+01,1.097236324401281299e-01,1.803354337373009875e-01
2.914914914914914945e+01,1.097320840414194171e-01,1.803110015773884689e-01
2.912412412412412266e+01,1.097405503373331537e-01,1.802863567219498697e-01
2.909909909909909942e+01,1.097490313662012884e-01,1.802614982838054158e-01
2.907407407407407263e+01,1.097575271664891078e-01,1.802364253723043874e-01
2.904904904904904939e+01,1.097660377767958328e-01,1.802111370933131007e-01
2.902402402402402259e+01,1.097745632358551743e-01,1.801856325492023903e-01
2.899899899899899935e+01,1.097831035825360124e-01,1.801599108388357018e-01
2.897397397397397256e+01,1.097916588558428413e-01,1.801339710575565745e-01
2.894894894894894932e+01,1.098002290949164905e-01,1.801078122971765394e-01
2.892392392392392253e+01,1.098088143390346660e-01,1.800814336459626852e-01
2.889889889889889929e+01,1.098174146276125196e-01,1.800548341886255010e-01
2.887387387387387250e+01,1.098260300002033285e-01,1.800280130063063311e-01
